Text,Label
"Good morning class, today we are going to learn about synonyms, antonyms, and homophones.",PRS
Let's start with synonyms. Synonyms are words that have similar meanings.,NA
"For example, the words 'happy' and 'joyful' are synonyms.",NA
Can anyone give me another pair of synonyms?,OTR
Great choice! Those words are indeed synonyms.,PRS
"Next, we are going to learn about antonyms.",NA
Antonyms are words that have opposite meanings.,NA
"For example, the words 'big' and 'small' are antonyms.",NA
Can someone give me another pair of antonyms?,OTR
Wonderful! Those words are indeed antonyms.,PRS
"Now, let's learn about homophones.",NA
Homophones are words that sound the same but have different meanings and spellings.,NA
"For example, the words 'to', 'two', and 'too' are homophones.",NA
Can someone give me another set of homophones?,OTR
Excellent! Those words are indeed homophones.,NA
"Now, let's write down some examples of synonyms, antonyms, and homophones in our notebooks.",NA
"Next, we are going to use synonyms, antonyms, and homophones in sentences.",NA
Let's build a sentence using synonyms. I'll start with a word: 'happy'.,NA
Can someone replace 'happy' with a synonym?,OTR
"Great, now our sentence is: 'She is joyful'.",PRS
"Now, let's build a sentence using antonyms. I'll start with a word: 'big'.",NA
Can someone replace 'big' with an antonym?,OTR
"Great, now our sentence is: 'The small dog barks'.",PRS
"Now, let's build a sentence using homophones. I'll start with a word: 'to'.",NA
Can someone replace 'to' with a homophone?,OTR
"Great, now our sentence is: 'She is going too fast'.",PRS
"Let's write down some of our own sentences using synonyms, antonyms, and homophones in our notebooks.",NA
"Well done, everyone! You have learned a lot today.",PRS
Remember to practice using these new words in your writing.,NA
"For homework, please write a short story using synonyms, antonyms, and homophones.",NA
"Make sure to use different synonyms, antonyms, and homophones in your story.",NA
Don't forget to think carefully about the meanings of the words you choose.,NA
I am looking forward to reading your stories.,PRS
"Have a great day, and remember to keep practicing your English!",NA
